"","...1","State","Total","Psychotherapy","Electroconvulsive","Substance Abuse","Emergency","Alzheimer's or Dementia","Eating Disorder","PTSD","Private For-Profit","Private Non-Profit","Public","Population","Proportion","People per Facility"
"1",1,"Alaska",93,89,2,62,32,7,9,41,11,60,22,731545,0.0127128201272649,7866.0752688172
"2",2,"Alabama",180,170,5,67,73,22,8,43,21,102,57,4903185,0.00367108318368571,27239.9166666667
"3",3,"Arkansas",202,195,4,90,120,29,27,86,67,117,18,3017804,0.00669360899515012,14939.6237623762
"4",4,"Arizona",421,374,11,312,101,26,53,171,140,269,12,7278717,0.00578398638111634,17289.1140142518
"5",5,"California",952,889,29,444,231,33,119,489,186,493,273,39512223,0.00240938101609722,41504.4359243697
"6",6,"Colorado",190,182,11,132,62,6,8,111,13,166,11,5758736,0.00329933513187616,30309.1368421053
"7",7,"Connecticut",230,204,6,160,63,8,23,135,14,191,25,3565287,0.00645109355852698,15501.247826087
"8",8,"District of Columbia",39,37,1,16,13,2,5,18,5,28,6,705749,0.00552604396180512,18096.1282051282
"9",9,"Delaware",36,34,1,29,7,1,2,11,10,20,6,973764,0.00369699434359865,27049
"10",10,"Florida",520,465,35,310,183,42,39,226,137,321,62,21477737,0.00242111168415928,41303.3403846154
"11",11,"Georgia",236,220,8,197,116,12,21,120,68,60,108,10617423,0.00222276158725145,44989.0805084746
"12",12,"Hawaii",39,37,1,23,25,7,2,17,8,8,23,1415872,0.00275448628124576,36304.4102564103
"13",13,"Iowa",143,128,9,63,42,12,12,36,8,120,15,3155070,0.00453238755400039,22063.4265734266
"14",14,"Idaho",140,138,3,65,43,9,26,63,99,12,29,1787065,0.0078340743061948,12764.75
"15",15,"Illinois",397,363,20,205,133,30,29,138,31,302,64,12671821,0.0031329356688356,31918.9445843829
"16",16,"Indiana",285,256,15,215,138,25,15,113,21,229,35,6732219,0.00423337386974488,23621.8210526316
"17",17,"Kansas",115,108,3,62,52,17,17,43,9,72,34,2913314,0.00394739461657755,25333.1652173913
"18",18,"Kentucky",218,212,8,164,118,13,11,89,17,177,24,4467673,0.00487949767138284,20493.9128440367
"19",19,"Louisiana",189,181,6,95,66,36,27,85,84,45,60,4648794,0.00406557055442766,24596.7936507937
"20",20,"Massachusetts",330,288,18,193,69,25,28,136,53,250,27,6892503,0.00478781075612154,20886.3727272727
"21",21,"Maryland",282,231,7,113,60,15,29,122,92,155,35,6045680,0.00466448770030832,21438.5815602837
"22",22,"Maine",181,153,9,96,31,7,9,64,35,135,11,1344212,0.0134651379395512,7426.58563535912
"23",23,"Michigan",368,347,16,248,130,21,38,137,64,176,128,9986857,0.00368484298914063,27138.1983695652
"24",24,"Minnesota",266,243,15,104,42,12,20,89,46,191,29,5639632,0.00471661980781725,21201.6240601504
"25",25,"Missouri",208,196,15,114,71,14,19,64,27,160,21,6137428,0.00338904179405445,29506.8653846154
"26",26,"Mississippi",169,149,5,109,67,31,21,61,27,81,61,2976149,0.00567847913528523,17610.349112426
"27",27,"Montana",85,80,2,51,28,5,11,34,4,74,7,1068778,0.00795300801476078,12573.8588235294
"28",28,"North Carolina",297,236,18,174,80,22,31,154,159,117,21,10488084,0.00283178510011934,35313.4141414141
"29",29,"North Dakota",33,32,3,19,10,1,3,14,1,18,14,762062,0.0043303563227139,23092.7878787879
"30",30,"Nebraska",145,124,6,97,37,10,18,41,20,101,24,1934408,0.00749583335056513,13340.7448275862
"31",31,"New Hampshire",70,61,5,40,25,7,12,44,3,59,8,1359711,0.00514815280600069,19424.4428571429
"32",32,"New Jersey",313,260,12,167,55,25,38,119,49,236,28,8882190,0.00352390570343575,28377.6038338658
"33",33,"New Mexico",69,67,4,44,27,3,6,32,11,41,17,2096829,0.00329068321737252,30388.8260869565
"34",34,"Nevada",66,63,2,31,31,6,12,45,18,17,31,3080156,0.00214274861403124,46669.0303030303
"35",35,"New York",860,810,44,402,281,40,93,374,25,585,250,19453561,0.00442078445175153,22620.4197674419
"36",36,"Ohio",616,572,21,378,158,34,65,258,83,473,60,11689100,0.00526986679898367,18975.8116883117
"37",37,"Oklahoma",145,139,3,108,85,15,14,66,23,84,38,3956971,0.00366441907206295,27289.4551724138
"38",38,"Oregon",183,168,2,87,48,6,24,90,15,131,37,4217737,0.00433881960871434,23047.7431693989
"39",39,"Pennsylvania",585,540,24,175,134,47,43,225,111,431,43,12801989,0.00456960242662293,21883.7418803419
"40",40,"Puerto Rico",79,76,4,54,34,13,24,34,42,28,9,3193694,0.00247362458645067,40426.5063291139
"41",41,"Rhode Island",63,53,5,53,25,8,3,21,2,57,4,1059361,0.00594698124624184,16815.253968254
"42",42,"South Carolina",106,98,7,33,72,9,6,62,13,10,83,5148714,0.00205876651917353,48572.7735849057
"43",43,"South Dakota",49,48,3,27,23,3,2,13,2,42,5,884659,0.00553885734503351,18054.2653061224
"44",44,"Tennessee",298,263,9,181,76,29,26,94,79,201,18,6829174,0.00436363167785738,22916.6912751678
"45",45,"Texas",384,351,25,213,202,38,36,182,97,154,133,28995881,0.0013243260309973,75510.1067708333
"46",46,"Utah",240,233,6,157,50,11,27,126,133,69,38,3205958,0.00748606188852131,13358.1583333333
"47",47,"Virginia",291,258,16,199,93,15,24,114,87,71,133,8535519,0.00340928302075129,29331.6804123711
"48",48,"Vermont",68,62,3,39,30,NA,4,30,7,52,9,623989,0.0108976280030577,9176.30882352941
"49",49,"Washington",398,367,4,190,63,15,24,142,67,302,29,7614893,0.00522660003233138,19132.8969849246
"50",50,"Wisconsin",429,413,16,277,72,33,58,161,162,191,76,5822434,0.00736805260480411,13572.1072261072
"51",51,"West Virginia",117,110,4,96,64,6,9,27,5,104,8,1792147,0.00652848231757774,15317.4957264957
"52",52,"Wyoming",45,44,1,38,17,2,5,16,3,34,8,578759,0.00777525705863753,12861.3111111111
